lr,epochs,batch_size,growth_rate,mean_accuracy,+-
0.0005,10,64,1,10.65,8.24
0.0005,10,64,2,22.75,20.72
0.0005,10,64,4,26.50,17.59
0.0005,10,64,8,15.18,17.33
0.0005,20,8,1,58.85,0.83
0.0005,20,8,2,54.53,4.50
0.0005,20,8,4,53.88,2.75
0.0005,20,8,8,53.15,3.76
0.0005,20,16,1,51.08,1.86
0.0005,20,16,2,52.03,3.93
0.0005,20,16,4,51.30,1.93
0.0005,20,16,8,50.02,0.04
0.0005,20,32,1,49.88,1.03
0.0005,20,32,2,49.92,1.34
0.0005,20,32,4,51.15,1.11
0.0005,20,32,8,51.00,3.16
0.0005,20,64,1,49.08,1.03
0.0005,20,64,2,38.40,19.92
0.0005,20,64,4,43.65,6.52
0.0005,20,64,8,35.90,18.21
0.0005,30,8,1,56.55,3.69
0.0005,30,8,2,59.92,4.59
0.0005,30,8,4,53.23,4.15
0.0005,30,8,8,58.70,4.89
0.0005,30,16,1,54.92,5.60
0.0005,30,16,2,53.55,1.75
0.0005,30,16,4,55.97,3.41
0.0005,30,16,8,52.78,3.37
0.0005,30,32,1,52.65,3.67
0.0005,30,32,2,50.25,0.49
0.0005,30,32,4,53.75,5.75
0.0005,30,32,8,51.83,3.61
0.0005,30,64,1,52.28,2.75
0.0005,30,64,2,50.17,0.36
0.0005,30,64,4,49.10,1.62
0.0005,30,64,8,51.20,2.32
0.0005,40,8,1,59.15,4.37
0.0005,40,8,2,62.30,0.74
0.0005,40,8,4,56.73,1.94
0.0005,40,8,8,63.20,1.46
0.0005,40,16,1,55.05,3.69
0.0005,40,16,2,55.38,4.54
0.0005,40,16,4,57.58,2.56
0.0005,40,16,8,57.87,4.76
0.0005,40,32,1,50.27,0.48
0.0005,40,32,2,49.72,0.37
0.0005,40,32,4,57.18,2.30
0.0005,40,32,8,49.48,0.91
0.0005,40,64,1,50.00,0.00
0.0005,40,64,2,50.92,0.86
0.0005,40,64,4,49.30,1.27
0.0005,40,64,8,49.42,1.00
0.0005,50,8,1,60.33,4.54
0.0005,50,8,2,58.28,5.16
0.0005,50,8,4,58.73,2.51
0.0005,50,8,8,62.23,3.05
0.0005,50,16,1,56.80,4.74
0.0005,50,16,2,56.70,2.81
0.0005,50,16,4,56.55,3.64
0.0005,50,16,8,53.35,4.58
0.0005,50,32,1,52.55,4.92
0.0005,50,32,2,52.02,6.11
0.0005,50,32,4,51.60,2.77
0.0005,50,32,8,55.80,5.00
0.0005,50,64,1,50.98,1.46
0.0005,50,64,2,50.48,0.82
0.0005,50,64,4,50.42,0.64
0.0005,50,64,8,52.85,2.36
0.0005,100,8,1,61.50,1.57
0.0005,100,8,2,61.30,1.32
0.0005,100,8,4,64.47,2.57
0.0005,100,8,8,62.55,3.16
0.0005,100,16,1,59.53,2.76
0.0005,100,16,2,62.48,2.58
0.0005,100,16,4,59.70,2.03
0.0005,100,16,8,61.15,0.93
